Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
Aalst,9300.0,1.0,apartment,apartment,469000.0,,3.0,160.0,1.0,20.0,,,,,,10647048.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/10647048
Knokke-Heist,8300.0,1.0,apartment,apartment,2800000.0,,4.0,180.0,1.0,,1.0,312.0,,3.0,,10572578.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10572578
Zottegem Strijpen,9620.0,1.0,apartment,apartment,470000.0,,3.0,133.0,1.0,40.0,1.0,450.0,,2.0,,10669045.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/zottegem%20strijpen/9620/10669045
Etterbeek,1040.0,1.0,apartment,apartment,570000.0,,2.0,105.0,1.0,8.0,,,,2.0,,10666308.0,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10666308
Mol,2400.0,1.0,apartment,apartment,259000.0,,3.0,122.0,1.0,,,,,,,10552521.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/mol/2400/10552521
Nivelles,1400.0,1.0,apartment,ground floor,172500.0,,1.0,110.0,,,,,,2.0,,10667406.0,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/nivelles/1400/10667406
Ronse,9600.0,1.0,apartment,apartment,245000.0,,2.0,94.0,1.0,7.0,,,,2.0,,10461556.0,,https://www.immoweb.be/en/classified/apartment/for-sale/ronse/9600/10461556
Ixelles,1050.0,0.0,apartment,apartment,645000.0,,3.0,141.0,,,,,,3.0,,10668178.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10668178
Ronse,9600.0,1.0,apartment,apartment,265000.0,,2.0,110.0,1.0,7.0,,,,2.0,,10461555.0,,https://www.immoweb.be/en/classified/apartment/for-sale/ronse/9600/10461555
Liege,4000.0,1.0,apartment,apartment,320000.0,,2.0,97.0,1.0,4.0,,,,2.0,,10503220.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/10503220
Oudenaarde,9700.0,1.0,apartment,apartment,285000.0,,2.0,80.0,,,,,,2.0,,10653185.0,,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/10653185
