Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Brussels City,1000,1,apartment,loft,1250000,,3,366,1,114,,,,4,,10588500,as new,https://www.immoweb.be/en/classified/loft/for-sale/brussels%20city/1000/10588500
,Embourg,4053,1,apartment,apartment,399000,,3,145,1,20,,,,3,,10611827,good,https://www.immoweb.be/en/classified/apartment/for-sale/embourg/4053/10611827
,Uccle,1180,1,apartment,penthouse,595000,,3,133,1,15,,,,2,,10670895,good,https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/10670895
,Deinze,9800,1,apartment,apartment,375000,,2,85,1,28,,,,4,,10665843,as new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10665843
,Deinze,9800,1,apartment,apartment,250000,,1,63,1,10,,,,4,,10665844,as new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10665844
,Molenbeek-Saint-Jean,1080,1,apartment,apartment,129000,,1,35,1,10,,,,2,,10668584,good,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10668584
,Mettet,5640,1,house,house,250000,,4,135,1,30,1,1400,1651,4,,10666296,to be done up,https://www.immoweb.be/en/classified/house/for-sale/mettet/5640/10666296
,FRAIRE,5650,1,house,house,250000,,4,135,1,30,1,1400,1651,4,,10666292,to be done up,https://www.immoweb.be/en/classified/house/for-sale/fraire/5650/10666292
,Herent,3020,1,house,house,370000,,3,181,,,1,151,265,3,,10667243,to be done up,https://www.immoweb.be/en/classified/house/for-sale/herent/3020/10667243
,Gooik,1755,1,house,house,329000,,2,167,,,,,402,4,,10666836,to be done up,https://www.immoweb.be/en/classified/house/for-sale/gooik/1755/10666836
,Braine-l'Alleud,1420,1,house,house,695000,,6,300,,,1,900,1100,4,,10667814,as new,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10667814
,Etterbeek,1040,1,house,house,780000,,5,233,1,3,1,33,100,2,,10667169,to be done up,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10667169
,Schaerbeek,1030,1,apartment,apartment,345000,,2,95,1,3,,,,2,,10666536,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10666536
,Kampenhout,1910,1,house,exceptional property,795000,,4,445,1,,1,1172,1663,3,,10666826,good,https://www.immoweb.be/en/classified/exceptional-property/for-sale/kampenhout/1910/10666826
,Crisnée,4367,0,house,house,138000,,2,120,1,16,,,90,3,,10321179,to renovate,https://www.immoweb.be/en/classified/house/for-sale/crisn%C3%A9e/4367/10321179
,Uccle,1180,1,house,house,780000,,4,172,1,13,1,90,180,2,,10667873,good,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10667873
,ELSEGEM,9790,1,house,house,395000,,4,192,,,,,620,4,,10668184,just renovated,https://www.immoweb.be/en/classified/house/for-sale/elsegem/9790/10668184
,Beersel,1652,1,house,villa,529000,,3,146,1,15,1,310,530,4,,10656932,good,https://www.immoweb.be/en/classified/villa/for-sale/beersel/1652/10656932
,Rhode-Saint-Genese,1640,1,house,house,639000,,3,205,1,80,1,150,476,3,1,10656226,as new,https://www.immoweb.be/en/classified/house/for-sale/rhode-saint-genese/1640/10656226
,Ixelles,1050,1,house,house,995000,,5,235,1,20,,,81,2,,10657189,good,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10657189
,Braine-l'Alleud,1420,1,house,house,595000,,5,203,1,25,1,200,366,3,,10663932,just renovated,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10663932
,Saint-Gilles,1060,1,house,apartment block,650000,,6,225,,,,,78,2,,10663610,as new,https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-gilles/1060/10663610
,Woluwe-Saint-Pierre,1150,1,house,house,650000,,4,164,1,,1,63,154,2,,10663705,good,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10663705
,Tervuren,3080,1,house,villa,699000,,3,200,1,,,,669,4,,10663876,good,https://www.immoweb.be/en/classified/villa/for-sale/tervuren/3080/10663876
,Wezembeek-Oppem,1970,1,house,villa,699000,,3,200,1,,,,669,4,,10663875,good,https://www.immoweb.be/en/classified/villa/for-sale/wezembeek-oppem/1970/10663875
,Schaerbeek,1030,1,house,house,780000,,5,233,1,3,1,33,100,2,,10664289,to be done up,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/10664289
,Liège,4000,1,house,house,585000,,4,270,1,75,1,550,1011,3,,10670964,as new,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4000/10670964
,COUTISSE,5300,1,house,house,295000,,3,150,1,,,,1192,4,,10664407,good,https://www.immoweb.be/en/classified/house/for-sale/coutisse/5300/10664407
,Kraainem,1950,1,house,house,849000,,5,250,1,25,1,728,818,3,,10669411,as new,https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/10669411
,Liège,4020,1,house,town house,199000,,2,113,,,,,262,2,,10655029,good,https://www.immoweb.be/en/classified/town-house/for-sale/li%C3%A8ge/4020/10655029
,Schaerbeek,1030,1,apartment,apartment,345000,,1,95,1,3,,,,2,,10666535,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10666535
,Bruxelles,1000,1,apartment,apartment,365000,,5,134,,,,,,2,,10666879,good,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10666879
,Drongen,9031,1,apartment,duplex,349000,,2,118,1,9,,,,3,,10666607,good,https://www.immoweb.be/en/classified/duplex/for-sale/drongen/9031/10666607
,Watermael-Boitsfort,1170,1,apartment,duplex,620000,,2,160,1,40,,,,2,,10666278,as new,https://www.immoweb.be/en/classified/duplex/for-sale/watermael-boitsfort/1170/10666278
,Uccle,1180,1,apartment,apartment,750000,,2,197,1,40,,,,4,,10673204,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10673204
,Molenbeek-Saint-Jean,1080,1,apartment,flat studio,180000,,0,43,1,5,,,,2,,10665158,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/molenbeek-saint-jean/1080/10665158
,Seraing,4100,1,apartment,apartment,160000,,2,65,1,16,,,,2,,10663786,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/seraing/4100/10663786
,Tubize,1480,1,apartment,apartment,179000,,1,61,1,4,,,,2,,10663652,good,https://www.immoweb.be/en/classified/apartment/for-sale/tubize/1480/10663652
,Dilbeek,1700,1,apartment,apartment,265000,,2,105,1,5,,,,2,,10664225,good,https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek/1700/10664225
